id,trigger,conditions,script,text,options,notes
bar_descFuelUmbra,BarPrintDesc,"$faction.id == pirates
$market.id == umbra score:100","ShowImageVisual space_bar","You enter the bar, leaving the noisy concourse behind. Unsavory figures share stories and drinks at the different tables. In one of the corners, there is a dart board with a picture of Supreme Chief Overlord President Executive Gas Station Manager Phillip Andrada attached to it. It seems someone has already spent the time filling the picture with darts.",,
bar_descFuelUmbraSFC,BarPrintDesc,"$faction.id == sindrian_diktat
$market.id == umbra score:1000","ShowImageVisual space_bar","You enter the bar, leaving the noisy concourse behind. $faction workers and managers talk and drink away at the different tables. In one of the corners, there is a dart board with a picture of Supreme Chief Overlord President Executive Gas Station Manager Phillip Andrada attached to it. It seems someone has encased it in glass and meticulously surrounded it with company banners.",,
"#END portside bar stuff",,,,,,
,,,,,,
# flavortext,,,,,,
,,,,,,
# trade panel flavor text,,,,,,
flavorTextMarketFuel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat score:2000","AddText ""The port concourse is filled with a mix of fuel tankers of various shapes and sizes from the company. Offloading ship captains are processed by a (somewhat uncomfortably) cheerful logistics manager before being allowed to proceed. Traders in company colors, lobster pins displayed on each collar, quietly pass a datapad loaded with cargo manifests amongst themselves."" marketFlavorTextColor
AddText ""A holoprojector displays a larger-than-life image of Phillip Andrada, the Supreme Chief Overlord President Executive Gas Station Manager, holding the company mascot while flanked by tropical trees waving in simulated wind. The projection majestically rotates in place on the concourse floor."" marketFlavorTextColor
",,,
flavorTextMarketFuelSindria,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == sindria score:2000","AddText ""Due to the close proximity of Sindria to Askonia, approaching it on the daylight side is nothing less than suicide; Instead, Sindria operates multiple port concourses, all connected to the surface by heavily-insulated blast doors, and whichever port is on the night side is used. Descending through one such opening, your shuttle is quickly bombarded by company advertisements and tropical music. You're not entirely sure if it really helps with the long wait until your shuttle finally enters into a cavernous space where dozens of ships, mostly Sindrian Fuel tankers crowd in the subterranean volume."" marketFlavorTextColor
AddText ""Being the main Headquarters of the Sindrian Fuel Company, the Board of Advertisement has ensured that no matter where you look, there is something advertising the company. Whether it'd be a poster or banner of the company mascot, commercials explaining away why Sindrdian AM fuel is better than other brands, or holoprojectors of Supreme Chief Overlord President Executive Gas Station Manager Andrada, absolutely nowhere is safe. Even the bathrooms use Volturn-y brand tissues."" marketFlavorTextColor
",,,
flavorTextMarketFuelCruor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == cruor score:2000
$player.transponderOn == true","AddText ""You land on an open refueling pad in the port segment of the giant tracked city-train that worms forever over the broken plains of Cruor. Upon disembarkation, the scarred decking shifts and rolls almost imperceptibly. A grizzled Company manager flanked by security specialists takes your credentials and goes over the standard fare of listed rules and regulations for your stay."" marketFlavorTextColor
AddText ""Banners of the Company logo jostle limply over the port concourse, holes into the banner showing signs of obvious neglect. You wonder idly at the dirty, open top cages installed at each receiving bay. Cages a bit too big for just lobsters."" marketFlavorTextColor
",,,
flavorTextMarketFuelCruorSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == cruor score:2000
$player.transponderOn == false","AddText ""Your shuttle lands on a maintenance pad in a utility segment of one of the tracked city-trains that forever crawls over the broken plains of Cruor. The neglected deck shifts and rolls for a tense few minutes, then a locked hatch unbolts to allow your entry. Whatever ruse, favor, or deception you called upon to gain entry has worked."" marketFlavorTextColor
AddText ""You and your entourage make your way through a maze of access conduits to emerge into a public corridor. You're greeted by peeling Volturn-y the Volturnian Lobster posters and strange looks from a few subdued off-shift workers."" marketFlavorTextColor
",,,
flavorTextMarketFuelVolturn,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == volturn score:2000
$player.transponderOn == true","AddText ""The main port Volturn consists of a flotilla of huge, pristine barges filled with various open air markets and restaurants selling the main staple of the planet: Volturnian Lobsters. Visible from the landing pad is the world famous Volturnian Lobster Garden. Offloading ship captains are processed by a (somewhat uncomfortably) cheerful logistics manager before being allowed to proceed. Traders in company colors, lobster pins dutifully displayed on the collar, pass a datapad loaded with cargo manifests amongst themselves."" marketFlavorTextColor
AddText ""A flickering holoprojector displays a larger-than-life image of Phillip Andrada, the Supreme Chief Overlord President Executive Gas Station Manager, holding the company mascot while flanked by tropical palm trees that could be waving in the sea wind. The projection slowly and majestically rotates in place, with projected sea gulls circling above."" marketFlavorTextColor",,,
flavorTextMarketFuelVolturnSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == volturn score:2000
$player.transponderOn == false","AddText ""Your shuttle lands on one of the less popular barges, with only a few passerby and less than fortunate lobster sellers being the only presence near the landing pad. The smell of aging fish and sea salt assaults your senses as you disembark. The creaking tiles below you shift and roll off-phase with nearby structures, their vents and masts worn with age. This effect, combined with the smell, is unfortunately nauseating. You hope that whatever ruse, favor, or deception you called upon to make this landing will prove worthwhile."" marketFlavorTextColor",,,
"#END trade panel flavor text",,,,,,
,,,,,,
# modded planets flavor text,,,,,,
flavorTextMarketDEDrakonFuel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == drakon score:2000

","AddText ""As your shuttle descends down the central shaft of the port, you can't help but note how bleak the entire concourse looks. Even the posters and banners of Volturn-y do little to change the mood. As soon as you disembark from the shuttle, a cold breeze chills you; it seems the heating systems here are either being underused, or that the ambient temperature is so low that not even the best heating systems can get rid of the deathly cold. The landing area is only populated by a few ships, with most of them being freighters loading organics for shipment. A dour-faced company logistics manager, evidently hating their job here despite their attempts at a forced smile, quickly processes you before moving on to the other incoming ships, for which there are very few."" marketFlavorTextColor",,,
flavorTextMarketDEDrakonFuelSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == drakon score:2000
$player.transponderOn == false","AddText	""The shuttle lands in the bottom of a crater blackened from past eruptions of organics. Even in your suit you can still feel the cold as you walk across the frozen surface of Drakon towards a maintenance shaft. Upon getting inside, you can feel the suspicious stares of off-duty workers piercing through you as you make your way to the port marketplace without being detected by the security patrols in the organics harvesting facility."" marketFlavorTextColor",,,
flavorTextMarketDERavaryeaFuel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == ravaryea score:2000
","AddText ""The air-conditioned main port concourse is populated by a flurry of peddlers selling tourist wares, like souvenirs or figurines. Tropical music fills the air as commercials play non-stop of various planetside attractions. Even your TriPad is flooded with these same ads, taking you almost a minute to clear them out to a manageable level. You follow the signs hung on the ceiling of the port, directing you towards the marketplace."" marketFlavorTextColor",,,
flavorTextMarketDERavaryeaFuelSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == ravaryea score:2000
$player.transponderOn == false","AddText ""Your shuttle lands in the thick of one of the few primary jungles covering Ravaryea so as to avoid detection. Walking out of the shuttle, you are immediately assaulted by the smell of lush greenery and surprisingly humid and hot air, considering the distance of Ravaryea from its sun. Trudging through the thick jungle, you endure almost an hour of insect bites and noisy animal calls before finally reaching a boardwalk trailing along the villas used as habitation for more affluent tourists. The suspicious and alarmed glares of the inhabitants are quickly quelled by your half-hearted excuse that you were a worker checking up on the 'lights in the jungle', and you follow the boardwalk and wooden signs towards the main port concourse."" marketFlavorTextColor
",,,
flavorTextMarketDEViewportFuel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == andor_viewport score:2000
","AddText	""After touching down in the large and spacious port concourse, you enter the main hall to be greeted with the main entrance of the Lion's Guard Campus, complete with a large purple banner reading 'Serve the Supreme Chief Overlord President Executive, Enroll Now!' draped over it. You even see posters of the Lion's Guard mascot, Laffy the security lion, reminding visitors to be careful with their personal information while using the hyperwavenet."" marketFlavorTextColor
AddText ""All around you are students rushing from place to place, or reading books on benches and tables, or chatting with friends. After being processed by the entrance guards, you are escorted to the right wing of the campus, which is where you're told the military equipment and ships are sold, away from the prying eyes of mischievous Guard students. You also spy the campus gift shop, selling various Sindrian Fuel merchandise. Notably, there are several figures of the Supreme Chief Overlord President Executive Gas Station Manager, though some have been tagged something else. A quick glance shows that they read 'The Lion of Sindria' instead."" marketFlavorTextColor",,,
flavorTextMarketDEViewportFuelSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == andor_viewport score:2000
$player.transponderOn == false","AddText	""Your shuttle stops over a maintenance shaft in the bowels of the main concourse, away from the many prying eyes of the company patrols surrounding the upper structure. Walking through the dark shaft, you make it into a maze of corridors, apparently one of the lower levels of the academy. A few students pass by you, but they seem to have more pressing matters on their minds than worrying about your presence."" marketFlavorTextColor
AddText ""After finally decoding the astonishingly convoluted maps of the academy, you manage to stumble your way to the right wing and somehow manage to make yourself look like a person who was authorized to come here. While most legal traders refuse to trade to you without express evidence that you were authorized, other less scrupulous or desperate traders are more than willing to sell you wares."" marketFlavorTextColor",,,
flavorTextMarketDERyzanFuel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == ryzan_supercomplex score:2000","AddText ""Weaving through the jutting irregularities of protruding hab-modules, your shuttle makes its way to the gargantuan port module situated in the centre of the complex. The main port concourse is extremely crowded with everything from tramp freighters to transit shuttles to Sindrian Fuel-marked combat ships residing in the spaceport. Outside of thick multilayered glass windows, you can faintly see the starlight glint on bronze colour that signifies the multiple Sindrian Fuel fleets perpetually standing guard over the Ryzan Supercomplex."" marketFlavorTextColor
AddText ""Curiously, on many surfaces, there are reminders to always follow the map of Ryzan Supercomplex given to all spacers who enter it, with a reference to a helpline operated by Sindrdian Fuel for anyone lost in the depths of the Ryzan Supercomplex'. On prominent bulkheads there lie massive maps of the full station; concerningly, dozens of Missing posters cover the area around these maps, the oldest of which are already yellowing and frayed at the edges."" marketFlavorTextColor",,,
"#END modded planets flavor text",,,,,,
"#END flavortext",,,,,,
,,,,,,
# Sindrian Diktat commission,,,,,,
CMSNTextRejectHostile_sindrian_diktat,CMSNTextRejectHostile,"$faction.id == sindrian_diktat",,"""Hmm, if this is correct, you currently have a listing on 'Worst Customers of the Persean Sector' here. Company policy dictates that such persons are to be barred from any work with the Sindrian Fuel Company. Of course, I could always call someone to escort you to Cruor for immediate assignment to a repayment labor force if you so badly want to work for the company.""",,
CMSNTextHasOther_sindrian_diktat,CMSNTextHasOther,"$faction.id == sindrian_diktat",,"""The Sindrian Fuel Company has a Non-Compete clause in our policy. Wouldn't want to have a conflict of interest here. You would have to resign your commission with $theOtherCommissionFaction before you can join our wonderful company.""",,
CMSNTextUnsuited_sindrian_diktat,CMSNTextUnsuited,"$faction.id == sindrian_diktat",,"""I'm sorry, but the Sindrian Fuel Company doesn't feel you'd be a right fit as an employee right now. We only accept candidates that have shown their loyalty to the brand. Maybe consider buying Sindrian more often?""",,
CMSNTextSuitedPart1_sindrian_diktat,CMSNTextSuitedPart1,"$faction.id == sindrian_diktat",,"""Ah, greetings, preferable customer! The Sindrian Fuel Company feels you have the right work ethics and personality profile to participate in the paid contractor field of our company!

It's quite a serious matter to accept such a position. You'll be representing not only the Sindrian Fuel Company but also Executive Gas Manager Phillip Andrada. You'll be tasked with ensuring the competitive dominance of Sindrian Fuel over all inferior competitors throughout the sector, and as well as aiding the company in expanding into new markets across the core worlds and beyond. You'll even be immediately entered into the company lottery for an express pass to the Volturnian Lobster Garden to meet with Volturn-y the Volturnian Lobster!

Now I understand that this might be too much and you may feel like you want to resign, but understand that such an action will be put on your company record. And besides, you wouldn't want to make Volturn-y sad, now do you?",,
CMSNTextSuitedPart2_sindrian_diktat,CMSNTextSuitedPart2,"$faction.id == sindrian_diktat",,"""Now, are you ready to sign on? If you act now, you'll also be entered into our lottery for half off your next fuel purchase!""",,
CMSNTextWelcomePart1_sindrian_diktat,CMSNTextWelcomePart1,"$faction.id == sindrian_diktat",,"""Thank you for choosing to work for the Sindrian Fuel Company: Where everyone is family!""",,
CMSNTextWelcomePart2_sindrian_diktat,CMSNTextWelcomePart2,"$faction.id == sindrian_diktat",,"""Now, normally I'd offer you to try on some complimentary Sindrian Fuel Company brand shades, but currently we've run out. The company is currently filling out a new order and you should be expecting your shades to arrive within... well we'll tell you when they arrive.

Is there anything else you need?""",,
CMSNTextChangeMind_sindrian_diktat,CMSNTextChangeMind,"$faction.id == sindrian_diktat",,"""Don't feel you're up to taking that step to joining the company? Let me tell you a story of a man who had it all but still decided to give that all up just to pursue his dreams. He left behind years of illustrious service just so he could become the best damn gas station manager and lobster seller on this side of the Persean Sector.

If President Executive Gas Station Manager Phillip Andrada could take that step into something big, then why don't you give it a shot too?""",,
CMSNResignAskToConfirm_sindrian_diktat,CMSNResignAskToConfirm,"$faction.id == sindrian_diktat",,"""You want to quit? But what about all the perks and benefits from working with the Sindrian Fuel Company? The vacation days? The complimentary shades? The chance to meet Volturn-y in person? Doesn't any of that mean something to you?""",,
CMSNResignConfirmed_sindrian_diktat,CMSNResignConfirmed,"$faction.id == sindrian_diktat",,"""I see... I hope you know what you're doing. I guess you don't care if you make Volturn-y and his family sad.

Very well, effective immediately your employment has been terminated. We'll be cancelling your complimentary sunglasses order.""",,
CMSNResignCancelled_sindrian_diktat,CMSNResignCancelled,"$faction.id == sindrian_diktat",,"""I know the road can get tough, but remember, President Executive Gas Station Manager Phillip Andrada stuck to his guns and now runs the best damn gas station franchise in the core worlds.

Thank you for sticking to your dreams and the dreams of the Sindrian Fuel Company.""",,
"#END Sindrian Diktat commission",,,,,,
,,,,,,
# turning AI cores in,,,,,,
aiCores_turnInOptionSelDiktat,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == sindrian_diktat","FireAll PopulateCoresTurnInOptions","""Greetings customer, I see you've gotten yourself a hold of one of those dangerous AI cores. Who knows what sort of short cuts someone could use to try and make Antimatter Fuel with the help of one of these! Don't worry - we at the Sindrian Fuel Company are currently offering a bounty on all AI cores brought in.""
OR
""Did you know that less scrupulous competitors have attempted to use AI cores to try and compete with the Sindrian Fuel Company? Not only is this a dangerous violation of current AI laws, but also no fuel can ever compete with Sindrian Fuel's Hard Work and Honest Labor Policy. You'll be duely rewarded for ensuring that our competitors can't use these labor shortcutting devices.""",,
aiCores_turnInResponseDiktat,AICoresTurnedIn,"$faction.id == sindrian_diktat","FireAll PopulateOptions","$PersonRank $personLastName gives you a smile while transmitting the transaction to the Sindrian Fuel Company before allowing you to turn to other matters.",,
"#END turning AI cores in",,,,,,
,,,,,,
# Sindrian Diktat fleet greeting lines,,,,,,
greetingDiktatFriendlyComm,OpenCommLink,"Commission hasFactionCommission
$faction.id == sindrian_diktat
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Greetings, fellow employee! Have you had a chance to enter yourself into the Company lottery yet? This month's grand prize winner gets an all expenses paid trip to Volturn!""
OR
""Hello, fellow employee! So good to see a fellow appreciator of the best fuel around here.""
OR
""Fellow employee, a moment of your time. I seemed to have misplaced my sunglasses... oh wait, nevermind here they are.""",,
greetingDiktatFriendly,OpenCommLink,"$faction.id == sindrian_diktat
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Greetings preferred customer, have you been to your local gas station franchise lately? We're currently having a special: A free Volturn-y the Volturnian Lobster pin for every 100 barrels of fuel you purchase!""
OR
""You're coming in clearly, preferred customer! Have you had a chance to enter into the latest lottery? The lucky winner gets an all expenses paid trip to Volturn.""
OR
""Line established, ID-confirmed. Ah, a preferred customer. You're currently entitled to access to the priority line when refueling at your nearest gas station franchise.""","cutCommLink:Cut the comm link",
greetingDiktatHostileWeaker,OpenCommLink,"$faction.id == sindrian_diktat
$entity.isHostile
$entity.relativeStrength < 0","$entity.ignorePlayerCommRequests = true 1","""Be advised, former customer, that company security forces have been alerted to your presence. Step away from the fuel and no one has to get hurt.""
OR
""Violation of company property will be noted down in the company records, and you've got a bad record former customer.""
OR
The Company $personRank stares with a dour scowl. ""You'll never get our fuel, former customer. You've lost your opportunity to enjoy Sindrian brand Antimatter Fuel.""","cutCommLink:Cut the comm link",
greetingDiktatHostileWeakerDefiant,OpenCommLink,"$faction.id == sindrian_diktat
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding","$entity.ignorePlayerCommRequests = true 1","The Company $personRank looks grim but defiant. ""You'll have to take this premium Sindrian fuel over my dead body!"" $heOrShe says, and cuts the transmission.
OR
""Better hope you make the most out of this premium brand fuel."" $HisOrHer expression hardens. ""Because it'll be the last you'll ever have!"" 

The comm blinks off.","cutCommLink:Cut the comm link",
greetingDiktatHostileStronger,OpenCommLink,"$faction.id == sindrian_diktat
$entity.isHostile
$entity.relativeStrength >= 0","$entity.ignorePlayerCommRequests = true 1","""Greetings, future employee! You and your fleet have been randomly approved for the Sindrian Fuel Company unpaid internship. Please disengage your weapons and allow yourself to be escorted to Cruor for immediate employment!""

The Company $personRank's eerily cheerful face is replaced by an image of the company mascot before the image fades.
OR
""You've leeched off the goodwill of the Sindrian Fuel Company for the last time, former customer. It's time to pay your dues.""
OR
""Hello, future employee! Your current record with the Sindrian Fuel Company has shown you are the perfect person to participate in our Hard Work and Honest Labor Policy."" $PersonRank $personName begins to noticeably grin. ""Effective immediately.""

The comm-line goes black.
OR
The Company $personRank sneers, ""So you think you can buy inferior fuel and get away with it? No matter, this'll be the last time you'll ever refuel your fleets.""","cutCommLink:Cut the comm link",
