id,trigger,conditions,script,text,options,notes
kweenpeopleme,PopulateKweenPeopleOptions,"$id == sfckween score:1000",,,"kweenpeopleplayer:""... Me.""",
"#END sfckweenpeopletree",,,,,,
,,,,,,
# sfckweengifttree,,,,,,
kweengiftprisoner,PopulateKweenGiftOptions,"$id == sfckween score:1000
PlayerHasCargo prisoner",,,"kweengiftprisoner:"" a... test subject?""",
,,,,,,
kweengiftprisonerrep,DialogOptionSelected,"$option == kweengiftprisoner","$sfckweengifted = true 14
AdjustRepActivePerson COOPERATIVE 1
AddRemoveCommodity prisoner -1 true
FireAll PopulateKweenOptions","$personLastName let's out a chuckle. ""Ah, you've noticed a clear lack of volunteers. Of course, I can deal with the... identification issues.""
OR
""Ah, someone with a wide range of skills . Compliance? $personLastName almost scoffs. ""Please, don't doubt my abilities.",,
"#END sfckweengifttree",,,,,,
"#END kweendirectory",,,,,,
,,,,,,
# runi,,,,,,
convDefaultGreetingrunifirst,PickGreeting,"!$sfcrunifirstgreeting
$global.kweenallowed
$id == sfcruni score:1000","$sfcrunifirstgreeting = true
ShowPersonVisual
FireAll PopulateOptions","You wait for a few seconds as the commlink connects to Yunifer. As soon as she appears on the screen, she gives you a look of surprise.

""C-Captain!"" She stutters as her eyes struggle to look at you. ""I-I-I H-how did you get this contact? D-did Kween give you it? I-I-""

Yunifer takes a deep breath as she does her best to compose herself.",,
convDefaultGreetingruni,PickGreeting,"$sfcrunifirstgreeting
$id == sfcruni score:100","ShowPersonVisual
FireAll PopulateOptions","""H-hello again, C-captain.""
OR
""Y-yes, Captain?""
OR
""H-hello there, C-captain.""",,"# this will fire when talking to same person again without leaving the station, but that seems fine"
,,,,,,
convoruniStart,PopulateOptions,"$id == sfcruni score:1000",,,"conversesfcruni:Converse",
convoruniList,DialogOptionSelected,"$option == conversesfcruni","FireAll PopulateRuniOptions",,,
convoruniChat,PopulateRuniOptions,"$id == sfcruni score:1000",,,"chatsfcruni:Chat",
convoruniChatResponses,DialogOptionSelected,"$option == chatsfcruni",,"""It's been so l-long since I've been a-able to command a ship. I wish I could d-do so again...""
OR
""I w-wish the Company would let m-me command a s-ship again...""
OR
""How is the Iapetus doing? Are you t-treating her okay?""",,
,,,,,,
convorunioptionescape,PopulateRuyOptions,"$id == sfcruni score:1000","SetShortcut sfcruniOptionMenu ""ESCAPE""",,"sfcruniOptionMenu:Return",
runimenu,DialogOptionSelected,"$option == sfcruyOptionMenu","FireAll PopulateOptions",,,
,,,,,,
# runichat,,,,,,
runipeopleme,PopulateRuniPeopleOptions,"$id == sfcruni score:1000",,,"runipeopleplayer:""... Me.""",
runipeopleresponsplayerveryhigh,DialogOptionSelected,"$option == runipeopleplayer
sfcreltrack 99 100",,"Runi takes a deep breath. ""I love you just as much as I do the lapeutus.""
",,
runipeoplelist,PopulateRuniOptions,,,,,
"#END runichat",,,,,,
"#END runi",,,,,,

